nr_Epoch,nr_Acc1,nr_Acc2,nr_Thresh1,nr_Thresh2,r_Epoch,r_Acc1,r_Acc2,r_Thresh1,r_Thresh2
56.0,1.0,0.0,6e-08,6e-08,56.0,1.0,0.0,6.599999999999998e-07,2e-08
57.0,1.0,0.0,6e-08,6e-08,57.0,1.0,0.0,6.599999999999998e-07,2e-08
58.0,1.0,0.0,6e-08,6e-08,58.0,1.0,0.0,6.599999999999998e-07,2e-08
59.0,1.0,0.0,6e-08,6e-08,59.0,1.0,0.0,6.599999999999998e-07,2e-08
60.0,1.0,0.0,6e-08,6e-08,60.0,1.0,0.0,6.599999999999998e-07,2e-08
61.0,1.0,0.0,6e-08,6e-08,61.0,1.0,0.0,6.599999999999998e-07,2e-08
62.0,1.0,0.0,6e-08,6e-08,62.0,1.0,0.0,6.599999999999998e-07,2e-08
63.0,1.0,0.0,6e-08,6e-08,63.0,1.0,0.0,6.599999999999998e-07,2e-08
64.0,1.0,0.0,6e-08,6e-08,64.0,1.0,0.0,6.599999999999998e-07,2e-08
65.0,1.0,0.0,6e-08,6e-08,65.0,1.0,0.0,6.599999999999998e-07,2e-08
66.0,1.0,0.0,6e-08,6e-08,66.0,1.0,0.0,6.599999999999998e-07,2e-08
67.0,1.0,0.0,6e-08,6e-08,67.0,1.0,0.0,6.599999999999998e-07,2e-08
68.0,1.0,0.0,6e-08,6e-08,68.0,1.0,0.0,6.599999999999998e-07,2e-08
69.0,1.0,0.0,6e-08,6e-08,69.0,1.0,0.0,6.599999999999998e-07,2e-08
70.0,1.0,0.0,6e-08,6e-08,70.0,1.0,0.0,6.599999999999998e-07,2e-08
71.0,1.0,0.0,6e-08,6e-08,71.0,1.0,0.0,6.599999999999998e-07,2e-08
72.0,1.0,0.0,6e-08,6e-08,72.0,1.0,0.0,6.599999999999998e-07,2e-08
73.0,1.0,0.0,6e-08,6e-08,73.0,1.0,0.0,6.599999999999998e-07,2e-08
74.0,1.0,0.0,6e-08,6e-08,74.0,1.0,0.0,6.599999999999998e-07,2e-08
75.0,0.0,1.0,6e-08,6e-08,75.0,1.0,0.0,6.599999999999998e-07,2e-08
76.0,1.0,0.0,6e-08,6e-08,76.0,1.0,0.0,6.599999999999998e-07,2e-08
77.0,0.0,1.0,6e-08,6e-08,77.0,1.0,0.0,6.599999999999998e-07,2e-08
78.0,1.0,0.0,6e-08,6e-08,78.0,1.0,0.0,6.599999999999998e-07,2e-08
79.0,0.0,1.0,6e-08,6e-08,79.0,1.0,0.0,6.599999999999998e-07,2e-08
80.0,0.0,1.0,6e-08,6e-08,80.0,1.0,0.0,6.599999999999998e-07,2e-08
81.0,0.0,1.0,6e-08,6e-08,81.0,1.0,0.0,6.599999999999998e-07,2e-08
82.0,1.0,0.0,6e-08,6e-08,82.0,1.0,0.0,6.599999999999998e-07,2e-08
83.0,1.0,0.0,6e-08,6e-08,83.0,1.0,0.0,6.599999999999998e-07,2e-08
84.0,1.0,0.0,6e-08,6e-08,84.0,1.0,0.0,6.599999999999998e-07,2e-08
85.0,0.0,1.0,6e-08,6e-08,85.0,1.0,0.0,6.599999999999998e-07,2e-08
86.0,1.0,0.0,6e-08,6e-08,86.0,1.0,0.0,6.599999999999998e-07,2e-08
87.0,1.0,0.0,6e-08,6e-08,87.0,1.0,0.0,6.599999999999998e-07,2e-08
88.0,1.0,0.0,6e-08,6e-08,88.0,1.0,0.0,6.599999999999998e-07,2e-08
89.0,1.0,0.0,6e-08,6e-08,89.0,1.0,0.0,6.599999999999998e-07,2e-08
90.0,1.0,0.0,6e-08,6e-08,90.0,1.0,0.0,6.599999999999998e-07,2e-08
91.0,1.0,0.0,6e-08,6e-08,91.0,1.0,0.0,6.599999999999998e-07,2e-08
92.0,1.0,0.0,6e-08,6e-08,92.0,1.0,0.0,6.599999999999998e-07,2e-08
93.0,1.0,0.0,6e-08,6e-08,93.0,1.0,0.0,6.599999999999998e-07,2e-08
94.0,1.0,0.0,6e-08,6e-08,94.0,1.0,0.0,6.599999999999998e-07,2e-08
95.0,1.0,0.0,6e-08,6e-08,95.0,1.0,0.0,6.599999999999998e-07,2e-08
96.0,1.0,0.0,6e-08,6e-08,96.0,1.0,0.0,6.599999999999998e-07,2e-08
97.0,1.0,0.0,6e-08,6e-08,97.0,1.0,0.0,6.599999999999998e-07,2e-08
98.0,1.0,0.0,6e-08,6e-08,98.0,0.0,1.0,7.199999999999998e-07,2e-08
99.0,1.0,0.0,6e-08,6e-08,99.0,1.0,0.0,7.199999999999998e-07,2e-08
100.0,1.0,0.0,6e-08,6e-08,100.0,1.0,0.0,7.199999999999998e-07,2e-08
101.0,0.0,1.0,6e-08,6e-08,101.0,1.0,0.0,7.199999999999998e-07,2e-08
102.0,1.0,0.0,6e-08,6e-08,102.0,1.0,0.0,7.199999999999998e-07,2e-08
103.0,1.0,0.0,6e-08,6e-08,103.0,1.0,0.0,7.199999999999998e-07,2e-08
104.0,0.0,1.0,6e-08,6e-08,104.0,1.0,0.0,7.199999999999998e-07,2e-08
105.0,1.0,0.0,6e-08,6e-08,105.0,1.0,0.0,7.199999999999998e-07,2e-08
106.0,1.0,0.0,6e-08,6e-08,106.0,1.0,0.0,7.199999999999998e-07,2e-08
107.0,1.0,0.0,6e-08,6e-08,107.0,1.0,0.0,7.199999999999998e-07,2e-08
108.0,0.0,1.0,6e-08,6e-08,108.0,1.0,0.0,7.199999999999998e-07,2e-08
109.0,0.0,1.0,6e-08,6e-08,109.0,1.0,0.0,7.199999999999998e-07,2e-08
110.0,1.0,0.0,6e-08,6e-08,110.0,1.0,0.0,7.199999999999998e-07,2e-08
111.0,1.0,0.0,6e-08,6e-08,111.0,1.0,0.0,7.199999999999998e-07,2e-08
112.0,1.0,0.0,6e-08,6e-08,112.0,1.0,0.0,7.199999999999998e-07,2e-08
113.0,1.0,0.0,6e-08,6e-08,113.0,1.0,0.0,7.199999999999998e-07,2e-08
114.0,1.0,0.0,6e-08,6e-08,114.0,1.0,0.0,7.199999999999998e-07,2e-08
115.0,1.0,0.0,6e-08,6e-08,115.0,1.0,0.0,7.199999999999998e-07,2e-08
116.0,0.0,1.0,6e-08,6e-08,116.0,1.0,0.0,7.199999999999998e-07,2e-08
117.0,1.0,0.0,6e-08,6e-08,117.0,1.0,0.0,7.199999999999998e-07,2e-08
118.0,0.0,1.0,6e-08,6e-08,118.0,1.0,0.0,7.199999999999998e-07,2e-08
119.0,1.0,0.0,6e-08,6e-08,119.0,1.0,0.0,7.199999999999998e-07,2e-08
120.0,1.0,0.0,6e-08,6e-08,120.0,1.0,0.0,7.199999999999998e-07,2e-08
121.0,0.0,1.0,6e-08,6e-08,121.0,1.0,0.0,7.199999999999998e-07,2e-08
122.0,1.0,0.0,6e-08,6e-08,122.0,1.0,0.0,7.199999999999998e-07,2e-08
123.0,1.0,0.0,6e-08,6e-08,123.0,1.0,0.0,7.199999999999998e-07,2e-08
124.0,0.0,1.0,6e-08,6e-08,124.0,1.0,0.0,7.199999999999998e-07,2e-08
125.0,1.0,0.0,6e-08,6e-08,125.0,1.0,0.0,7.199999999999998e-07,2e-08
