hamming_dist,globalAccuracy,mix_accuracy,threshold_type,backdegree,commit?,pathway_intersection
0.8888888888888888,0.71,0.4537620521815371,2,2.0,1,13
0.8888888888888888,0.73,0.44395945760846234,2,3.0,1,13
0.8888888888888888,0.95,0.21794494717703375,2,4.0,1,13
0.8888888888888888,0.97,0.17058722109231983,2,5.0,1,13
0.8888888888888888,1.0,0.0,2,6.0,1,13
